Coin_Id,Base,Target,Target_Coin_ID,Market,Last,Volume,Converted_Volume,Trust_Score,Timestamp,Is_Anomaly,Is_Stale
cardano,ADA,USDT,tether,[object Object],2.0967,480798403.16925645,[object Object],green,2021-08-19T10:41:54+00:00,false,false
cardano,ADA,KRW,,[object Object],2485,161276783.92343894,[object Object],green,2021-08-19T10:48:23+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.0992,3894662.3,[object Object],green,2021-08-19T10:40:46+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.0974,2097307.09,[object Object],green,2021-08-19T10:39:39+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.0952,17757101.820156,[object Object],green,2021-08-19T10:50:04+00:00,false,false
cardano,ADA,USD,,[object Object],2.0945,140526476.71,[object Object],green,2021-08-19T10:49:54+00:00,false,false
cardano,ADA,USD,,[object Object],2.12495,2040973,[object Object],green,2021-08-19T09:59:08+00:00,false,false
cardano,ADA,USD,,[object Object],2.0936,7186957.53689255,[object Object],green,2021-08-19T10:46:28+00:00,false,false
cardano,ADA,BUSD,binance-usd,[object Object],2.097,92383145.9906867,[object Object],green,2021-08-19T10:41:12+00:00,false,false
cardano,ADA,BTC,bitcoin,[object Object],0.00004718,85087213.67655787,[object Object],green,2021-08-19T10:30:19+00:00,false,false
cardano,ADA,CRO,crypto-com-chain,[object Object],14.83,153258.55,[object Object],green,2021-08-19T10:45:45+00:00,false,false
cardano,ADA,TRY,,[object Object],18.03,11535448.9128,[object Object],green,2021-08-19T10:36:18+00:00,false,false
cardano,ADA,ETH,ethereum,[object Object],0.000701066,97538,[object Object],green,2021-08-19T10:39:57+00:00,false,false
cardano,ADA,USD,,[object Object],2.0962642,9184575,[object Object],green,2021-08-19T10:39:57+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.0938477,9176956,[object Object],green,2021-08-19T10:50:01+00:00,false,false
cardano,ADA,USD,,[object Object],2.1007,33651098.44595873,[object Object],green,2021-08-19T10:45:39+00:00,false,false
cardano,ADA,ETH,ethereum,[object Object],0.000701436,97570,[object Object],green,2021-08-19T10:49:21+00:00,false,false
cardano,ADA,BTC,bitcoin,[object Object],0.0000471,2121425,[object Object],green,2021-08-19T10:39:58+00:00,false,false
cardano,ADA,BTC,bitcoin,[object Object],0.000047098,2121428,[object Object],green,2021-08-19T10:40:12+00:00,false,false
cardano,ADA,USD,,[object Object],2.0939,51068056.44916185,[object Object],green,2021-08-19T10:46:23+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.098478,89283996.88561584,[object Object],green,2021-08-19T10:47:54+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.09901,6130236.66344541,[object Object],green,2021-08-19T10:40:47+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.1002,3034248.8706,[object Object],green,2021-08-19T10:36:17+00:00,false,false
cardano,ADA,BTC,bitcoin,[object Object],0.0000472,878911,[object Object],green,2021-08-19T10:24:52+00:00,false,false
cardano,ADA,XRP,ripple,[object Object],1.86609,68077662,[object Object],green,2021-08-19T10:41:42+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.098999,99973431.65,[object Object],green,2021-08-19T10:41:42+00:00,false,false
cardano,ADA,EUR,,[object Object],1.793979,15553628.97707062,[object Object],green,2021-08-19T10:45:38+00:00,false,false
cardano,ADA,UST,tether,[object Object],2.0956,2661606.74471429,[object Object],green,2021-08-19T10:46:26+00:00,false,false
cardano,ADA,EUR,,[object Object],1.7922,10261973.2,[object Object],green,2021-08-19T10:50:02+00:00,false,false
cardano,ADA,ETH,ethereum,[object Object],0.00070128,26040955.09845476,[object Object],green,2021-08-19T10:36:53+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.102,3762389.330623,[object Object],green,2021-08-19T10:48:23+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.099801,52710904.97294383,[object Object],green,2021-08-19T10:48:12+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.0925,6540558.7,[object Object],green,2021-08-19T10:45:45+00:00,false,false
cardano,ADA,USD,,[object Object],2.09681,5989079.82721968,[object Object],green,2021-08-19T10:36:52+00:00,false,false
cardano,ADA,BTC,bitcoin,[object Object],0.00004711,6394720.51797938,[object Object],green,2021-08-19T10:36:53+00:00,false,false
cardano,ADA,USDC,usd-coin,[object Object],2.1027,5954598.54304323,[object Object],green,2021-08-19T10:35:43+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.0982868,4011414.65748568,[object Object],green,2021-08-19T10:36:53+00:00,false,false
cardano,ADA,BTC,bitcoin,[object Object],0.00004711,3519241.25494855,[object Object],green,2021-08-19T10:46:36+00:00,false,false
cardano,ADA,BTC,bitcoin,[object Object],0.00004712,2146773.7983870967,[object Object],green,2021-08-19T10:46:23+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.09391,18195459.53594327,[object Object],green,2021-08-19T10:45:42+00:00,false,false
cardano,ADA,KRW,,[object Object],2488,23530549.26891189,[object Object],green,2021-08-19T10:45:17+00:00,false,false
cardano,ADA,ETH,ethereum,[object Object],0.00070238,17672548.74011219,[object Object],green,2021-08-19T10:49:16+00:00,false,false
cardano,ADA,BTC,bitcoin,[object Object],0.000047096,7632929,[object Object],green,2021-08-19T10:45:45+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.098643,2932244.14811337,[object Object],green,2021-08-19T10:45:39+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.09614,10103863.06596649,[object Object],green,2021-08-19T10:46:23+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.0995,15409930.922114,[object Object],green,2021-08-19T10:38:45+00:00,false,false
cardano,ADA,GBP,,[object Object],1.5301,5553990.75,[object Object],green,2021-08-19T10:49:51+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.1093,37035210.166,[object Object],green,2021-08-19T10:13:32+00:00,false,false
cardano,ADA,BTC,bitcoin,[object Object],0.0000472,9419642.44,[object Object],green,2021-08-19T10:50:01+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.0974,7075768.96768031,[object Object],green,2021-08-19T10:39:54+00:00,false,false
cardano,ADA,USDC,usd-coin,[object Object],2.096,6417689.26,[object Object],green,2021-08-19T10:50:03+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.092512,36383380,[object Object],green,2021-08-19T10:46:28+00:00,false,false
cardano,ADA,ETH,ethereum,[object Object],0.00070179,1963042,[object Object],green,2021-08-19T10:39:25+00:00,false,false
cardano,ADA,BNB,binancecoin,[object Object],0.005215,6492703.016874401,[object Object],green,2021-08-19T10:38:56+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.093076,11824700.6,[object Object],green,2021-08-19T10:46:57+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.094199,14813752.3,[object Object],green,2021-08-19T10:50:02+00:00,false,false
cardano,ADA,ETH,ethereum,[object Object],0.0007014,1347652.75537373,[object Object],green,2021-08-19T10:45:39+00:00,false,false
cardano,ADA,BTC,bitcoin,[object Object],0.00004723,9746463.240851358,[object Object],green,2021-08-19T10:47:51+00:00,false,false
cardano,ADA,BTC,bitcoin,[object Object],0.0000471,43366785,[object Object],green,2021-08-19T10:41:44+00:00,false,false
cardano,ADA,THB,,[object Object],70.12,9515197.35775784,[object Object],green,2021-08-19T10:46:08+00:00,false,false
cardano,ADA,TRY,,[object Object],18,10741340.733025556,[object Object],green,2021-08-19T10:37:43+00:00,false,false
cardano,ADA,BTC,bitcoin,[object Object],0.00004707,5988150.56637655,[object Object],green,2021-08-19T10:45:41+00:00,false,false
cardano,ADA,IDR,,[object Object],30543,1769194.04587529,[object Object],green,2021-08-19T10:40:10+00:00,false,false
cardano,ADA,BTC,bitcoin,[object Object],0.00004725,2423880.37870819,[object Object],green,2021-08-19T10:48:33+00:00,false,false
cardano,ADA,KRW,,[object Object],2485,4733845.0991,[object Object],green,2021-08-19T10:40:05+00:00,false,false
cardano,ADA,EUR,,[object Object],1.8061806,410350.0319,[object Object],green,2021-08-19T10:25:55+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.097334,2257177.97,[object Object],green,2021-08-19T10:39:59+00:00,false,false
cardano,ADA,ETH,ethereum,[object Object],0.000703,5782202.9,[object Object],green,2021-08-19T10:49:51+00:00,false,false
cardano,ADA,USD,,[object Object],2.101723,2095998.991788,[object Object],green,2021-08-19T10:47:49+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.099105,14624352.410730114,[object Object],green,2021-08-19T10:42:00+00:00,false,false
cardano,ADA,USDC,usd-coin,[object Object],2.09407,572597.8,[object Object],green,2021-08-19T10:45:45+00:00,false,false
cardano,ADA,INR,,[object Object],164.27,706894,[object Object],green,2021-08-19T10:36:55+00:00,false,false
cardano,ADA,AUD,,[object Object],2.945,3221762.404508998,[object Object],green,2021-08-19T10:29:17+00:00,false,false
cardano,ADA,BTC,bitcoin,[object Object],0.000047115,2403854.3054078105,[object Object],green,2021-08-19T10:42:16+00:00,false,false
cardano,ADA,BRL,,[object Object],11.428,6037484.715041127,[object Object],green,2021-08-19T10:36:05+00:00,false,false
cardano,ADA,QC,qcash,[object Object],13.6235,3821213,[object Object],green,2021-08-19T10:47:02+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.09937,10211008.9,[object Object],green,2021-08-19T10:36:28+00:00,false,false
cardano,ADA,GBP,,[object Object],1.53204,1011184.58886165,[object Object],green,2021-08-19T10:45:38+00:00,false,false
cardano,ADA,ETH,ethereum,[object Object],0.000702176,12277156.9,[object Object],green,2021-08-19T10:50:02+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.0994,1358012.8,[object Object],green,2021-08-19T10:43:42+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.12989,3435159.2942874986,[object Object],green,2021-08-19T10:02:49+00:00,false,false
cardano,ADA,GBP,,[object Object],1.5078,3599481.42804417,[object Object],green,2021-08-19T10:49:44+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.098205,2496136.92986987,[object Object],green,2021-08-19T10:36:38+00:00,false,false
cardano,ADA,ETH,ethereum,[object Object],0.000704,266455.4387082,[object Object],green,2021-08-19T10:45:43+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.09977,1263146,[object Object],green,2021-08-19T10:48:22+00:00,false,false
cardano,ADA,USD,,[object Object],2.11166772,673451.42689925,[object Object],green,2021-08-19T10:37:50+00:00,false,false
cardano,ADA,RUB,,[object Object],156.23,954832.1580349485,[object Object],green,2021-08-19T10:48:55+00:00,false,false
cardano,ADA,ETH,ethereum,[object Object],0.000703,1295677.8834338393,[object Object],green,2021-08-19T10:47:51+00:00,false,false
cardano,ADA,EUR,,[object Object],1.80328,800506.28239169,[object Object],green,2021-08-19T10:36:52+00:00,false,false
cardano,ADA,BTC,bitcoin,[object Object],0.00004715,1963996.7764581125,[object Object],green,2021-08-19T10:36:38+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.098457,9453307.1794,[object Object],green,2021-08-19T10:36:58+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.1024,283607.1397089041,[object Object],green,2021-08-19T10:45:38+00:00,false,false
cardano,ADA,BTC,bitcoin,[object Object],0.00004715,411532.0700083,[object Object],green,2021-08-19T10:37:52+00:00,false,false
cardano,ADA,BIDR,binanceidr,[object Object],30500,903998.706652459,[object Object],green,2021-08-19T10:35:59+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.1205,55387,[object Object],green,2021-08-19T10:36:56+00:00,false,false
cardano,ADA,BRL,,[object Object],11.401,368359.7484,[object Object],green,2021-08-19T10:46:37+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.0999,7244.43,[object Object],green,2021-08-19T10:39:46+00:00,false,false
cardano,ADA,USDT,tether,[object Object],2.0975993,1197235,[object Object],green,2021-08-19T10:47:56+00:00,false,false
cardano,ADA,BTC,bitcoin,[object Object],0.00004709,1369084,[object Object],green,2021-08-19T10:40:48+00:00,false,false
cardano,ADA,BTC,bitcoin,[object Object],0.000047239,342005,[object Object],green,2021-08-19T10:48:22+00:00,false,false
